TERC,Gmina,SIMC,Miejscowość,SYM_UL,Ulica,Nr porządkowy,Szerokość geograficzna,Długość geograficzna,gml_id
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57E,50.338559040776985,19.193889311140996,PL.ZIPIN.4267.EMUiA_7d668f9f-5e97-40a1-bfe9-20263a378061
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,57f,50.33836526045227,19.193663397449257,PL.ZIPIN.4267.EMUiA_f1e97aed-ba73-4bb8-b4cc-c254979e4f4b
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,58,50.332721278517596,19.195779425271905,PL.ZIPIN.4267.EMUiA_7585729d-2649-46be-bb4c-fcc187cac4e3
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,58a,50.33286796787407,19.196143935941866,PL.ZIPIN.4267.EMUiA_18e7c841-bbdb-4851-a21b-cc254cf7d18b
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,58B,50.33300790107397,19.196457173891943,PL.ZIPIN.4267.EMUiA_a813304a-e843-43e4-9498-fc5b97f1f973
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,58C,50.33317772071094,19.196883646011333,PL.ZIPIN.4267.EMUiA_98ca2a8d-ee91-4c5c-9e22-be6d4ae1a1f6
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,58D,50.333379961752264,19.197297624181164,PL.ZIPIN.4267.EMUiA_48999332-59c5-47e8-8c36-01115c290302
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,59,50.33932681482991,19.19379849483795,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,60,50.33283066860143,19.195510855923725,PL.ZIPIN.4267.EMUiA_b060f7e4-6d9f-485a-93ed-4c03e3c23d3e
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,60B,50.33324804677321,19.1965163054965,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,60C,50.33334167602309,19.1967376733588,PL.ZIPIN.4267.EMUiA_4c708626-2dcd-40b0-b7d6-76647c7ffa61
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,60D,50.33350764652243,19.197122464440696,PL.ZIPIN.4267.EMUiA_56406272-8d9e-48c3-91d7-853e7629aa98
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,60E,50.333639797504254,19.197422230694535,PL.ZIPIN.4267.EMUiA_0d875ff9-1771-4126-9ae2-f186c274df9b
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,60F,50.3337133222251,19.197583126621133,PL.ZIPIN.4267.EMUiA_95b391c3-60cd-4660-b11e-d64316980d4d
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,62a,50.33370687710891,19.196600755211524,PL.ZIPIN.4267.EMUiA_76406fa9-2a7c-45d4-a4f8-6b26b59526e1
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,64,50.33358268651493,19.195410084659912,PL.ZIPIN.4267.EMUiA_864b065a-0362-42ae-8dbf-000d998c2163
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,65,50.33986549060832,19.1935515382563,PL.ZIPIN.4267.EMUiA_a208ac4c-e7e2-4e44-afbd-5b7d892dea3b
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,66,50.3337391022437,19.195388765059114,PL.ZIPIN.4267.EMUiA_01f31529-9d6f-4ee6-a2c2-4c73ef0fa076
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,67,50.34001318870204,19.19348899158369,PL.ZIPIN.4267.EMUiA_06164e99-3ef9-4c0a-b374-59dc0f1be7a3
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,67B,50.33980335794374,19.192875893450005,PL.ZIPIN.4267.EMUiA_81e179e1-d232-4ce1-92ab-02fefbf6e043
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,68,50.333879681415475,19.195381106676344,PL.ZIPIN.4267.EMUiA_c7fa6c18-64c2-4dcc-81a6-8cec0647efbe
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,69,50.34009260851038,19.19327790922032,PL.ZIPIN.4267.EMUiA_6af71b66-d2cb-4356-ad02-6957b94bc7f3
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,70,50.334037244900266,19.195438044091926,PL.ZIPIN.4267.EMUiA_f2c4364b-2c4a-4f26-8099-c1fce50df4ea
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,72,50.33425198159879,19.195500675578266,PL.ZIPIN.4267.EMUiA_653c24a2-496e-48ea-b191-cfd303fb7e35
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,78,50.33483122661999,19.19554540179091,PL.ZIPIN.4267.EMUiA_e5c7102b-d30a-46a8-8c0b-1ad54410c7e7
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,80,50.33500861808414,19.195437856015026,PL.ZIPIN.4267.EMUiA_f0027a49-c492-403d-b7c1-234aa9d965f8
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,82,50.335165314017054,19.19540127549178,PL.ZIPIN.4267.EMUiA_d0d4d8d8-804e-43d3-ac1e-f924265af7dc
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,84,50.33530398304902,19.195484201725513,PL.ZIPIN.4267.EMUiA_01cd20df-85ff-4c89-9e8e-e59f30cda129
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,86,50.3352957331595,19.19516572118728,PL.ZIPIN.4267.EMUiA_9902c374-58ff-4064-801e-8ff459639bcd
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,90,50.33560662778171,19.195230135890483,PL.ZIPIN.4267.EMUiA_049386ea-20e5-410a-8dd7-544303179ec5
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,92,50.335694637529095,19.195137156709926,PL.ZIPIN.4267.EMUiA_c46ee8b4-43d5-411a-814b-6afee40675fb
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,94,50.33580015867069,19.195079939263472,PL.ZIPIN.4267.EMUiA_0f017c5f-396d-43b0-be73-aa73806ed436
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,96,50.33620439830314,19.19501296263864,PL.ZIPIN.4267.EMUiA_e4d9e09c-097c-4033-af76-c57d8ffe76fd
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,100,50.33658929757633,19.19495414114365,PL.ZIPIN.4267.EMUiA_e405a20d-7e4d-4188-a263-9bb6815239ad
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,102,50.336793020103464,19.195012625784557,PL.ZIPIN.4267.EMUiA_0934c34a-cad0-43a5-a857-f7d8885464a1
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,104,50.33696877777023,19.19498314717574,PL.ZIPIN.4267.EMUiA_bd34f576-ec01-4145-a92b-7700119ea294
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,108,50.33738000916632,19.19493815957382,PL.ZIPIN.4267.EMUiA_7d4ea958-6d29-4e8b-858f-1e7bd79f0c15
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,110,50.337471469058954,19.1948836259265,PL.ZIPIN.4267.EMUiA_0a570456-d580-4435-b69d-86e5fce0de88
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,114,50.33769087157407,19.195021793311685,PL.ZIPIN.4267.EMUiA_5b43002a-47f7-4894-b1f3-175b2bf8305e
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,116,50.33784925577246,19.194874190713293,PL.ZIPIN.4267.EMUiA_bcce6205-5545-4b6f-bd37-b925cd1e74dd
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,118,50.33807245840547,19.19484215839725,PL.ZIPIN.4267.EMUiA_12f40f54-0d9d-41fb-a1a3-e6a170d31979
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,120,50.33828174703654,19.19472496245547,PL.ZIPIN.4267.EMUiA_003ac51e-cbd7-4714-a66c-16c453040d17
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,122,50.33842233984922,19.194709064350103,PL.ZIPIN.4267.EMUiA_5979ee7a-3c64-4e7e-aa8b-3eb09d89b24e
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,124,50.33866484681535,19.194690837458477,PL.ZIPIN.4267.EMUiA_daaf605e-36fa-4f4e-b7f7-31d9ded8e1d6
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,126,50.33891139099066,19.194656659906908,PL.ZIPIN.4267.EMUiA_72a8ef70-d8b7-44be-a3af-a852b28fd5a0
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,128,50.33950436299952,19.19410740243179,PL.ZIPIN.4267.EMUiA_a4071c17-7aa6-44bb-bf9f-696d9c11df16
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,128B,50.340188471905925,19.195888512944755,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,136,50.340166039554475,19.19429706046656,PL.ZIPIN.4267.EMUiA_74a76561-8c44-44cc-9bf6-e17f4ade3e0a
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09182,ul. Konopnickiej,138,50.340330919351196,19.194467954634714,PL.ZIPIN.4267.EMUiA_176222d2-d6d4-4c9f-a166-61fbdfc4b4eb
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,1,50.37413285284448,19.235622561021763,PL.ZIPIN.4267.EMUiA_340acaa8-68d0-4602-a28a-2d7b638ace49
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,2,50.374046172790585,19.23591061618994,PL.ZIPIN.4267.EMUiA_7917f74d-bd1b-4a1f-b4f9-ed68b04ce3e7
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,2a,50.37393725006505,19.23585452816375,PL.ZIPIN.4267.EMUiA_0bf13d06-4b5a-4694-bc95-588c182421c2
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,2C,50.37353644443543,19.23595007542543,PL.ZIPIN.4267.EMUiA_508f3de1-3d85-407d-ab74-fd28aab234f9
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,3,50.3743190943301,19.235626230776575,PL.ZIPIN.4267.EMUiA_ab4dfd58-2bf2-4836-bc1f-47f6c72a2fb1
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,4,50.37419349140312,19.236045973155136,PL.ZIPIN.4267.EMUiA_883c1cc5-38c2-43ea-b4b0-0c62cce1740c
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,5,50.37440485560615,19.235791504472164,PL.ZIPIN.4267.EMUiA_5294949c-9c1c-47d3-832e-8d0a4b9f25b8
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,6,50.37423715073727,19.236178069017516,PL.ZIPIN.4267.EMUiA_48e760f9-ac7f-46ea-b15f-eb2c5762f595
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,7,50.37454699916062,19.235880129071234,PL.ZIPIN.4267.EMUiA_8c98a684-6cdf-4472-a194-5bb5c6f2788d
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,10,50.374530365207065,19.23628393011107,PL.ZIPIN.4267.EMUiA_3a926b61-faa1-4bf6-a282-8d77b0b9f5cc
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,11,50.37482956634419,19.236038139931736,PL.ZIPIN.4267.EMUiA_267d7bc8-b3b6-4c36-b391-81c4f3786af1
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,12,50.37502171357353,19.236594093899388,PL.ZIPIN.4267.EMUiA_7b1723f1-ff06-451f-a5cc-6488829280b0
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,14,50.37514104247042,19.23666887033302,PL.ZIPIN.4267.EMUiA_4d550f2c-ba58-4625-bd6b-6eb16fe889af
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,15,50.375117443162644,19.23617694471205,PL.ZIPIN.4267.EMUiA_7d32fec6-59dd-4081-a13f-282718329456
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,16,50.37523548152806,19.23688639614577,PL.ZIPIN.4267.EMUiA_f0666fe3-9ba1-4f8c-bf11-eaf4d6b5102c
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,17,50.375204854494825,19.236394434515645,PL.ZIPIN.4267.EMUiA_58dcb0b6-87df-4ae5-b843-8fd9845a7628
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,18,50.37538140579914,19.236843162001687,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,19,50.375403094651325,19.236546535141432,PL.ZIPIN.4267.EMUiA_97a5f5a5-323f-4131-a0cb-6c60df103147
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,19a,50.37551815127352,19.236129478452572,PL.ZIPIN.4267.EMUiA_7d7dd91e-0637-40a5-bfb4-b4ed51affbc4
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,20,50.375502289959236,19.237016860133984,PL.ZIPIN.4267.EMUiA_04963a1b-40ed-42e0-92fe-f93d95fc7123
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,21,50.37553478919421,19.23658840215608,PL.ZIPIN.4267.EMUiA_1fb65a6b-909f-47bf-a007-915999296ffd
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,22,50.375577909915854,19.23698426546717,""
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,23,50.375729463980186,19.2367652148627,PL.ZIPIN.4267.EMUiA_50aa7c3c-4c3b-489b-8c37-6ca264d3fec8
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,24,50.37561762754242,19.237325161944014,PL.ZIPIN.4267.EMUiA_ced81445-8506-4ae3-a1ce-310d4493df3d
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,26,50.375742837597535,19.23710048614326,PL.ZIPIN.4267.EMUiA_eb1a1e46-42d1-4403-b32f-8d1ea7b5c92b
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,28,50.37607794659038,19.237341196967893,PL.ZIPIN.4267.EMUiA_2616df3d-68a0-42fd-b648-893406534373
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,29,50.37642720645311,19.23705567298127,PL.ZIPIN.4267.EMUiA_f54a4173-29ef-43c6-8bdf-f6cc4396eefe
2465011,Dąbrowa Górnicza,0939473,Dąbrowa Górnicza,09207,ul. Konstytucji,30,50.376158714104214,19.237369075547445,PL.ZIPIN.4267.EMUiA_6b4e8d96-d93f-445f-a300-b12e0854921e
